1757991517.112952 - Distance=15.03m, Decision=SAFE
1757991874.7488372 - Distance=4.22m, Decision=BRAKE!
1757991875.788589 - Distance=13.00m, Decision=SAFE
1757991876.82879 - Distance=20.19m, Decision=SAFE
1757991877.8702579 - Distance=10.83m, Decision=SAFE
1757991879.0104582 - Distance=6.97m, Decision=STEER!
1757991880.054475 - Distance=54.17m, Decision=SAFE
1757991881.199254 - Distance=5.18m, Decision=STEER!
1757991882.3448188 - Distance=9.59m, Decision=STEER!
1757991883.3899572 - Distance=56.97m, Decision=SAFE
1757991884.423291 - Distance=12.77m, Decision=SAFE
1757991885.453231 - Distance=22.13m, Decision=SAFE
1757991886.505374 - Distance=53.26m, Decision=SAFE
1757991887.555951 - Distance=51.48m, Decision=SAFE
1757991888.609471 - Distance=23.20m, Decision=SAFE
1757991889.761415 - Distance=8.18m, Decision=STEER!
1757991890.8141649 - Distance=11.80m, Decision=SAFE
1757991891.871254 - Distance=65.70m, Decision=SAFE
1757991892.924721 - Distance=15.29m, Decision=SAFE
1757991893.97824 - Distance=64.03m, Decision=SAFE
1757991895.029897 - Distance=11.37m, Decision=SAFE
1757991896.184576 - Distance=5.72m, Decision=STEER!
1757991897.240284 - Distance=31.16m, Decision=SAFE
1757991898.292406 - Distance=10.41m, Decision=SAFE
1757991899.4462268 - Distance=2.54m, Decision=BRAKE!
1757991900.470316 - Distance=29.39m, Decision=SAFE
1757991901.522371 - Distance=84.14m, Decision=SAFE
1757991902.57462 - Distance=39.31m, Decision=SAFE
1757991903.628188 - Distance=17.39m, Decision=SAFE
1757991904.785876 - Distance=2.45m, Decision=BRAKE!
1757991905.943889 - Distance=7.59m, Decision=STEER!
1757991906.999978 - Distance=61.15m, Decision=SAFE
1757991908.156249 - Distance=8.94m, Decision=STEER!
1757991909.211495 - Distance=38.33m, Decision=SAFE
1757991910.365684 - Distance=3.73m, Decision=BRAKE!
1757991911.419996 - Distance=16.08m, Decision=SAFE
1757991912.5709262 - Distance=7.23m, Decision=STEER!
1757991913.623307 - Distance=33.40m, Decision=SAFE
1757991914.682762 - Distance=36.00m, Decision=SAFE
1757991915.732374 - Distance=18.65m, Decision=SAFE
1757991916.789331 - Distance=33.24m, Decision=SAFE
1757991917.848447 - Distance=39.55m, Decision=SAFE
1757991918.9067369 - Distance=72.64m, Decision=SAFE
1757991919.964246 - Distance=12.24m, Decision=SAFE
1757991921.0216398 - Distance=27.05m, Decision=SAFE
1757991922.078022 - Distance=33.55m, Decision=SAFE
1757991923.136826 - Distance=16.74m, Decision=SAFE
1757991924.2078972 - Distance=20.09m, Decision=SAFE
1757991925.26509 - Distance=29.31m, Decision=SAFE
1757991926.322874 - Distance=30.98m, Decision=SAFE
1757991927.3795872 - Distance=11.56m, Decision=SAFE
1757991928.4355578 - Distance=12.13m, Decision=SAFE
1757991929.492959 - Distance=41.48m, Decision=SAFE
1757991930.519125 - Distance=24.09m, Decision=SAFE
1757991931.579115 - Distance=38.78m, Decision=SAFE
1757991932.636575 - Distance=24.73m, Decision=SAFE
1757991933.6936698 - Distance=48.19m, Decision=SAFE
1757991934.752579 - Distance=24.54m, Decision=SAFE
1757991935.812893 - Distance=30.33m, Decision=SAFE
1757991936.972202 - Distance=6.31m, Decision=STEER!
1757991938.032254 - Distance=80.84m, Decision=SAFE
1757991939.089061 - Distance=28.72m, Decision=SAFE
1757991940.150913 - Distance=29.08m, Decision=SAFE
1757991941.207696 - Distance=59.26m, Decision=SAFE
1757991942.2680352 - Distance=13.22m, Decision=SAFE
1757991943.325669 - Distance=47.37m, Decision=SAFE
1757991944.476025 - Distance=9.50m, Decision=STEER!
1757991945.5057359 - Distance=15.40m, Decision=SAFE
1757991946.665865 - Distance=3.26m, Decision=BRAKE!
1757991947.727181 - Distance=46.30m, Decision=SAFE
1757991948.8882828 - Distance=9.28m, Decision=STEER!
1757991949.951581 - Distance=45.16m, Decision=SAFE
1757991951.11457 - Distance=3.88m, Decision=BRAKE!
1757991952.177087 - Distance=11.59m, Decision=SAFE
1757991953.237076 - Distance=26.75m, Decision=SAFE
1757991954.2899609 - Distance=21.10m, Decision=SAFE
1757991955.3435662 - Distance=35.64m, Decision=SAFE
1757991956.4905689 - Distance=6.25m, Decision=STEER!
1757991957.5261052 - Distance=11.66m, Decision=SAFE
1757992136.271295 - Distance=48.75m, Decision=SAFE
1757992137.310855 - Distance=28.53m, Decision=SAFE
1757992138.38046 - Distance=34.55m, Decision=SAFE
1757992139.452689 - Distance=37.01m, Decision=SAFE
1757992140.504811 - Distance=28.76m, Decision=SAFE
1757992141.5823731 - Distance=16.93m, Decision=SAFE
1757992142.638551 - Distance=55.45m, Decision=SAFE
1757992143.709397 - Distance=24.38m, Decision=SAFE
1757992144.8657331 - Distance=6.18m, Decision=STEER!
1757992145.942018 - Distance=21.65m, Decision=SAFE
1757992146.998688 - Distance=25.13m, Decision=SAFE
1757992148.1554759 - Distance=6.51m, Decision=STEER!
1757992149.2211258 - Distance=46.47m, Decision=SAFE
1757992150.28927 - Distance=16.24m, Decision=SAFE
1757992151.350782 - Distance=24.71m, Decision=SAFE
1757992152.384295 - Distance=19.01m, Decision=SAFE
1757992153.420757 - Distance=15.70m, Decision=SAFE
1757992154.456147 - Distance=11.44m, Decision=SAFE
1757992155.492938 - Distance=45.41m, Decision=SAFE
1757992156.5270321 - Distance=49.62m, Decision=SAFE
1757992157.56732 - Distance=33.36m, Decision=SAFE
1757992354.9630258 - Distance=3.04m, Decision=BRAKE!
1757992356.015031 - Distance=44.02m, Decision=SAFE
1757992357.095438 - Distance=38.51m, Decision=SAFE
1757992358.170326 - Distance=12.66m, Decision=SAFE
1757992359.223609 - Distance=10.88m, Decision=SAFE
1757992360.2989702 - Distance=22.24m, Decision=SAFE
1757992361.458076 - Distance=3.30m, Decision=BRAKE!
1757992362.533443 - Distance=63.00m, Decision=SAFE
1757992363.5896902 - Distance=11.95m, Decision=SAFE
1757992364.767371 - Distance=8.83m, Decision=STEER!
1757992365.9261498 - Distance=3.85m, Decision=BRAKE!
1757992367.0002508 - Distance=21.87m, Decision=SAFE
1757992368.06791 - Distance=65.81m, Decision=SAFE
1757992369.105248 - Distance=55.03m, Decision=SAFE
1757992370.2456162 - Distance=2.27m, Decision=BRAKE!
1757992371.3840818 - Distance=3.93m, Decision=BRAKE!
1757992792.6460512 - Distance=53.85m, Decision=SAFE
1757992793.7448032 - Distance=74.31m, Decision=SAFE
1757992794.868761 - Distance=24.26m, Decision=SAFE
1757992795.9368372 - Distance=31.35m, Decision=SAFE
1757992797.144325 - Distance=3.52m, Decision=BRAKE!
1757992798.3529978 - Distance=2.73m, Decision=BRAKE!
1757992799.4629319 - Distance=72.95m, Decision=SAFE
1757992800.558696 - Distance=57.17m, Decision=SAFE
1757992801.739451 - Distance=9.93m, Decision=STEER!
1757992802.848011 - Distance=21.20m, Decision=SAFE
1757992803.935646 - Distance=41.05m, Decision=SAFE
1757992805.0426471 - Distance=13.79m, Decision=SAFE
1757992806.111718 - Distance=59.86m, Decision=SAFE
1757992807.221558 - Distance=32.67m, Decision=SAFE
1757992808.3023932 - Distance=73.26m, Decision=SAFE
1757992809.405443 - Distance=34.28m, Decision=SAFE
1757992810.4791622 - Distance=54.52m, Decision=SAFE
1757992811.583663 - Distance=44.39m, Decision=SAFE
1757992812.6762931 - Distance=36.43m, Decision=SAFE
1757992813.779387 - Distance=17.23m, Decision=SAFE
1757992814.9737852 - Distance=8.98m, Decision=STEER!
1757992816.057811 - Distance=19.78m, Decision=SAFE
1757992817.169313 - Distance=17.22m, Decision=SAFE
1757992818.2368588 - Distance=42.11m, Decision=SAFE
1757992819.4257998 - Distance=3.90m, Decision=BRAKE!
1757992820.509512 - Distance=10.97m, Decision=SAFE
1757992821.5907469 - Distance=10.78m, Decision=SAFE
1757992822.7880461 - Distance=8.88m, Decision=STEER!
1757992823.968501 - Distance=7.26m, Decision=STEER!
1757992825.106858 - Distance=63.47m, Decision=SAFE
1757992826.195799 - Distance=14.64m, Decision=SAFE
1757992827.2992058 - Distance=54.71m, Decision=SAFE
1757992828.381057 - Distance=28.59m, Decision=SAFE
1757992829.5801458 - Distance=8.05m, Decision=STEER!
1757992830.6742249 - Distance=15.77m, Decision=SAFE
1757992831.786416 - Distance=12.52m, Decision=SAFE
1757992832.862745 - Distance=25.52m, Decision=SAFE
1757992833.969561 - Distance=24.28m, Decision=SAFE
1757992835.159842 - Distance=6.08m, Decision=STEER!
1757992836.2700942 - Distance=30.78m, Decision=SAFE
1757992837.38906 - Distance=52.92m, Decision=SAFE
1757992838.5889769 - Distance=8.68m, Decision=STEER!
1757992839.683037 - Distance=44.45m, Decision=SAFE
1757992840.7957199 - Distance=39.32m, Decision=SAFE
1757992841.982383 - Distance=3.51m, Decision=BRAKE!
1757992843.087934 - Distance=12.05m, Decision=SAFE
1757992844.286635 - Distance=9.39m, Decision=STEER!
1757992845.3939068 - Distance=27.98m, Decision=SAFE
1757992846.475307 - Distance=31.80m, Decision=SAFE
1757992847.587345 - Distance=30.49m, Decision=SAFE
1757992848.6896691 - Distance=38.71m, Decision=SAFE
1757992849.890364 - Distance=4.83m, Decision=BRAKE!
1757992850.971502 - Distance=28.67m, Decision=SAFE
1757992852.090134 - Distance=10.27m, Decision=SAFE
1757992853.198508 - Distance=36.91m, Decision=SAFE
1757992854.300481 - Distance=18.17m, Decision=SAFE
1757992855.417696 - Distance=14.96m, Decision=SAFE
1757992856.503923 - Distance=42.33m, Decision=SAFE
1757992857.703536 - Distance=5.42m, Decision=STEER!
1757992858.800162 - Distance=40.36m, Decision=SAFE
1757992859.908851 - Distance=23.51m, Decision=SAFE
1757992860.988766 - Distance=11.17m, Decision=SAFE
1757992862.0956469 - Distance=53.66m, Decision=SAFE
1757992863.207115 - Distance=43.36m, Decision=SAFE
1757992864.3053691 - Distance=56.05m, Decision=SAFE
1757992865.420112 - Distance=15.32m, Decision=SAFE
1757992867.0669088 - Distance=27.40m, Decision=SAFE
1757992868.337033 - Distance=57.52m, Decision=SAFE
1757992869.493098 - Distance=15.60m, Decision=SAFE
1757992870.5901482 - Distance=28.63m, Decision=SAFE
1757992871.815923 - Distance=5.21m, Decision=STEER!
1757992872.926355 - Distance=39.92m, Decision=SAFE
1757992874.0375192 - Distance=35.68m, Decision=SAFE
1757992875.234474 - Distance=5.11m, Decision=STEER!
1757992876.4493482 - Distance=2.71m, Decision=BRAKE!
1757992877.6569011 - Distance=5.32m, Decision=STEER!
1757992878.749568 - Distance=38.05m, Decision=SAFE
1757992880.116422 - Distance=21.82m, Decision=SAFE
1757992881.2238889 - Distance=43.43m, Decision=SAFE
1757992882.333004 - Distance=49.16m, Decision=SAFE
1757992883.442312 - Distance=53.25m, Decision=SAFE
1757992884.6572711 - Distance=6.93m, Decision=STEER!
1757992885.770675 - Distance=20.93m, Decision=SAFE
1757992886.8712058 - Distance=21.98m, Decision=SAFE
1757992887.9715068 - Distance=55.30m, Decision=SAFE
1757992889.087305 - Distance=70.53m, Decision=SAFE
1757992890.200656 - Distance=22.37m, Decision=SAFE
1757992891.308537 - Distance=36.03m, Decision=SAFE
1757992892.413785 - Distance=72.98m, Decision=SAFE
1757992893.6057549 - Distance=5.27m, Decision=STEER!
1757992894.7121 - Distance=35.75m, Decision=SAFE
1757992895.8191118 - Distance=30.91m, Decision=SAFE
1757992896.9254668 - Distance=17.03m, Decision=SAFE
1757992898.033967 - Distance=34.78m, Decision=SAFE
1757992899.140693 - Distance=28.28m, Decision=SAFE
1757992900.33332 - Distance=7.74m, Decision=STEER!
1757992901.44443 - Distance=55.25m, Decision=SAFE
1757992902.5533361 - Distance=25.22m, Decision=SAFE
1757992903.764999 - Distance=9.09m, Decision=STEER!
1757992904.871784 - Distance=29.23m, Decision=SAFE
1757992905.981096 - Distance=37.97m, Decision=SAFE
1757992907.095807 - Distance=19.95m, Decision=SAFE
1757992908.223784 - Distance=26.54m, Decision=SAFE
1757992909.339498 - Distance=37.55m, Decision=SAFE
1757992910.405497 - Distance=24.15m, Decision=SAFE
1757992911.5268228 - Distance=28.90m, Decision=SAFE
1757992912.638659 - Distance=35.19m, Decision=SAFE
1757992913.853763 - Distance=28.06m, Decision=SAFE
1757992914.963197 - Distance=36.64m, Decision=SAFE
1757992916.062123 - Distance=70.65m, Decision=SAFE
1757992917.182107 - Distance=13.32m, Decision=SAFE
1757992918.2818491 - Distance=36.35m, Decision=SAFE
1757992919.404167 - Distance=47.09m, Decision=SAFE
1757992920.5034199 - Distance=56.25m, Decision=SAFE
1757992921.615127 - Distance=24.39m, Decision=SAFE
1757992922.727328 - Distance=28.00m, Decision=SAFE
1757992923.8367941 - Distance=47.25m, Decision=SAFE
1757992924.947233 - Distance=54.25m, Decision=SAFE
1757992926.053869 - Distance=13.95m, Decision=SAFE
1757992927.1481779 - Distance=28.90m, Decision=SAFE
1757992928.266114 - Distance=39.80m, Decision=SAFE
1757992929.479924 - Distance=8.23m, Decision=STEER!
1757992930.581995 - Distance=33.31m, Decision=SAFE
1757992931.693491 - Distance=22.54m, Decision=SAFE
1757992932.909583 - Distance=9.61m, Decision=STEER!
1757992934.124821 - Distance=6.97m, Decision=STEER!
1757992935.2374752 - Distance=26.00m, Decision=SAFE
1757992936.351528 - Distance=11.53m, Decision=SAFE
1757992937.461857 - Distance=28.60m, Decision=SAFE
1757992938.572809 - Distance=46.15m, Decision=SAFE
1757992939.703542 - Distance=22.02m, Decision=SAFE
1757992940.798317 - Distance=40.26m, Decision=SAFE
1757992941.913741 - Distance=28.77m, Decision=SAFE
1757992943.126334 - Distance=3.71m, Decision=BRAKE!
1757992944.2407832 - Distance=14.16m, Decision=SAFE
1757992945.352741 - Distance=44.29m, Decision=SAFE
1757992946.4676218 - Distance=20.51m, Decision=SAFE
1757992947.584766 - Distance=10.86m, Decision=SAFE
1757992948.802442 - Distance=3.43m, Decision=BRAKE!
1757992949.918679 - Distance=33.21m, Decision=SAFE
1757992951.0373461 - Distance=15.68m, Decision=SAFE
1757992952.151265 - Distance=25.38m, Decision=SAFE
1757992953.367904 - Distance=4.04m, Decision=BRAKE!
1757992954.486399 - Distance=13.35m, Decision=SAFE
1757992955.6038232 - Distance=39.09m, Decision=SAFE
1757992956.7235022 - Distance=12.76m, Decision=SAFE
1757992957.8446221 - Distance=30.30m, Decision=SAFE
1757992958.961138 - Distance=25.91m, Decision=SAFE
1757992960.080905 - Distance=17.11m, Decision=SAFE
1757992961.195154 - Distance=25.02m, Decision=SAFE
1757992962.4133859 - Distance=6.37m, Decision=STEER!
1757992963.627424 - Distance=2.79m, Decision=BRAKE!
1757992964.7487879 - Distance=33.95m, Decision=SAFE
1757992965.873635 - Distance=43.59m, Decision=SAFE
1757992966.994347 - Distance=17.51m, Decision=SAFE
1757992968.1118562 - Distance=20.08m, Decision=SAFE
1757992969.233114 - Distance=37.17m, Decision=SAFE
1757992970.354285 - Distance=23.19m, Decision=SAFE
1757992971.4757109 - Distance=16.21m, Decision=SAFE
1757992972.596949 - Distance=61.02m, Decision=SAFE
1757992973.721715 - Distance=11.66m, Decision=SAFE
1757992974.842752 - Distance=68.64m, Decision=SAFE
1757992975.967299 - Distance=50.28m, Decision=SAFE
1757992977.085637 - Distance=43.86m, Decision=SAFE
1757992978.503635 - Distance=7.36m, Decision=STEER!
1757992979.809794 - Distance=34.13m, Decision=SAFE
1757992981.167059 - Distance=44.01m, Decision=SAFE
1757992982.480562 - Distance=22.21m, Decision=SAFE
1757992983.867501 - Distance=3.30m, Decision=BRAKE!
1757992985.184319 - Distance=41.09m, Decision=SAFE
1757992986.4723468 - Distance=41.91m, Decision=SAFE
1757992987.724069 - Distance=62.63m, Decision=SAFE
1757992989.113369 - Distance=4.32m, Decision=BRAKE!
1757992990.415328 - Distance=24.49m, Decision=SAFE
1757992991.728568 - Distance=30.77m, Decision=SAFE
1757992993.019066 - Distance=50.96m, Decision=SAFE
1757992994.417194 - Distance=8.79m, Decision=STEER!
1757992995.7302558 - Distance=20.16m, Decision=SAFE
1757992997.155587 - Distance=5.82m, Decision=STEER!
1757992998.469207 - Distance=34.10m, Decision=SAFE
1757992999.8992379 - Distance=8.76m, Decision=STEER!
1757993001.2302349 - Distance=55.09m, Decision=SAFE
1757993002.554832 - Distance=77.59m, Decision=SAFE
1757993003.892731 - Distance=22.02m, Decision=SAFE
1757993005.335329 - Distance=9.15m, Decision=STEER!
1757993006.768509 - Distance=8.65m, Decision=STEER!
1757993008.105042 - Distance=42.55m, Decision=SAFE
1757993009.446569 - Distance=18.32m, Decision=SAFE
1757993010.776256 - Distance=10.24m, Decision=SAFE
1757993012.115714 - Distance=26.97m, Decision=SAFE
1757993013.444101 - Distance=28.09m, Decision=SAFE
1757993014.751657 - Distance=14.75m, Decision=SAFE
1757993016.1083798 - Distance=5.06m, Decision=STEER!
1757993017.316735 - Distance=31.52m, Decision=SAFE
1757993018.659771 - Distance=16.19m, Decision=SAFE
1757993019.9853911 - Distance=49.92m, Decision=SAFE
1757993021.2874 - Distance=46.11m, Decision=SAFE
1757993022.613227 - Distance=72.16m, Decision=SAFE
1757993023.9072351 - Distance=29.38m, Decision=SAFE
1757993025.24872 - Distance=30.07m, Decision=SAFE
1757993026.669612 - Distance=22.07m, Decision=SAFE
1757993028.007222 - Distance=19.74m, Decision=SAFE
1757993029.348308 - Distance=80.40m, Decision=SAFE
1757993030.761046 - Distance=2.23m, Decision=BRAKE!
1757993032.062741 - Distance=78.97m, Decision=SAFE
1757993033.352921 - Distance=40.87m, Decision=SAFE
1757993034.65726 - Distance=28.20m, Decision=SAFE
1757993036.029561 - Distance=2.00m, Decision=BRAKE!
1757993037.3140328 - Distance=14.41m, Decision=SAFE
1757993038.6492538 - Distance=13.74m, Decision=SAFE
1757993039.9494889 - Distance=20.13m, Decision=SAFE
1757993041.367006 - Distance=6.17m, Decision=STEER!
1757993042.654412 - Distance=48.24m, Decision=SAFE
1757993043.949491 - Distance=30.57m, Decision=SAFE
1757993045.211228 - Distance=52.34m, Decision=SAFE
1757993046.46722 - Distance=34.82m, Decision=SAFE
1757993047.775579 - Distance=48.87m, Decision=SAFE
1757993049.170057 - Distance=5.99m, Decision=STEER!
1757993050.516137 - Distance=28.54m, Decision=SAFE
1757993051.897464 - Distance=3.63m, Decision=BRAKE!
1757993053.212172 - Distance=32.00m, Decision=SAFE
1757993054.517587 - Distance=27.84m, Decision=SAFE
1757993055.806432 - Distance=51.88m, Decision=SAFE
1757993057.103102 - Distance=35.25m, Decision=SAFE
1757993058.420177 - Distance=37.24m, Decision=SAFE
1757993059.86381 - Distance=9.57m, Decision=STEER!
1757993061.174769 - Distance=32.53m, Decision=SAFE
1757993062.497679 - Distance=28.54m, Decision=SAFE
1757993063.8033762 - Distance=47.08m, Decision=SAFE
1757993065.1079638 - Distance=15.99m, Decision=SAFE
1757993066.461706 - Distance=19.37m, Decision=SAFE
1757993067.84301 - Distance=37.10m, Decision=SAFE
1757993069.1644318 - Distance=54.03m, Decision=SAFE
1757993070.478097 - Distance=26.97m, Decision=SAFE
1757993071.865456 - Distance=4.49m, Decision=BRAKE!
1757993073.197559 - Distance=12.54m, Decision=SAFE
1757993074.513728 - Distance=14.46m, Decision=SAFE
1757993075.922036 - Distance=3.36m, Decision=BRAKE!
1757993077.215326 - Distance=74.14m, Decision=SAFE
1757993078.548216 - Distance=32.15m, Decision=SAFE
1757993079.983979 - Distance=7.45m, Decision=STEER!
1757993081.4134421 - Distance=43.18m, Decision=SAFE
1757993082.694222 - Distance=20.83m, Decision=SAFE
1757993084.048098 - Distance=55.95m, Decision=SAFE
1757993085.366046 - Distance=38.01m, Decision=SAFE
1757993086.687744 - Distance=33.14m, Decision=SAFE
1757993088.130661 - Distance=8.37m, Decision=STEER!
1757993089.473223 - Distance=49.10m, Decision=SAFE
1757993090.827625 - Distance=19.58m, Decision=SAFE
1757993092.133193 - Distance=19.82m, Decision=SAFE
1757993093.51436 - Distance=3.89m, Decision=BRAKE!
1757993094.973691 - Distance=2.35m, Decision=BRAKE!
1757993096.3372219 - Distance=38.49m, Decision=SAFE
1757993097.7242649 - Distance=65.67m, Decision=SAFE
1757993099.193374 - Distance=8.46m, Decision=STEER!
1757993100.581162 - Distance=11.99m, Decision=SAFE
1757993101.9528582 - Distance=84.79m, Decision=SAFE
